orig,repl
"global pulse,",global pulse
global rainwater harvesting collective (grwhc) (india),global rainwater harvesting collective
global sustainability electicity partnership,global sustainable electricity partnership
global sustainable tourism network,global sustainable tourism council
global transport knowledge partnership (gtkp) (switzerland),global transport knowledge partnership
global village cameroon (gvc) (cameroon),global village cameroon
global water partnership (gwp) (sweden),global water partnership
global water partnership (gwp);,global water partnership
"global-coral-reef-alliance,",global coral reef alliance
"global-ocean-trust,",global ocean trust
gmc •,gmc
gnorth & son,gnorth and son
goal honduras,goal
gobernacin de la provincia antartica de chile,antarctic province of chile
gobierno de la regin de magallanes y antartica chilena,"magallanes and antartica, chile"
goias,goiás
"goiás,",goiás
"goldbach media,",goldbach media
goodfuels •,goodfuels
goos,global ocean observing system
"gossas,",gossas
government of aruba,aruba
government of catalonia,catalonia
government of flanders,flanders
government of french polynesia,french polynesia
government of india - subnational government - chhattisgarh biofuel development authority (cbda),chattisgarh
government of india - subnational government - karnataka renewable energy development,karnataka
government of india - subnational government - maharashtra energy development agency (meda),maharashtra
government of india - subnational government - non-conventional energy development corporation of andhra pradesh ltd (nedcap),andhra pradesh
government of india - subnational government - orissa renewable energy development agency (oreda),odisha
government of india - subnational government - west bengal renewable energy development agency (wbreda ),west bengal state
government of new caledonia,new caledonia
government of the united kingdom,united kingdom
government of the united states,united states
governor of vava'u,vava'u
grace;,group of reflection and support to corporate citizenship
"graduate school of engineering, hokkaido universit (japan)",hokkaido university
"grameen de la frontera, a.c.;","grameen de la frontera, a.c."
grameen shakti in asia,grameen shakti
great lakes solutions,great lakes solutions
"green cross france et territoires,",green cross france et territoires
"green cross international,",green cross international
"green destinations (the netherlands, spain);","green destinations (the netherlands, spain)"
green leaf foundation of thailand (thailand),green leaf foundation of thailand
green markets international inc (united states),green markets international inc
green power labs inc (canada),green power labs inc
green reef group (grg),green reef group
"green,",green
greka energy (china),greka energy
grenda,grenada
grenoble ecole de management,grenoble university of management
grid arendal,grid-arendal
grimmer industries (united states),grimmer industries
group of eight (g-8),group of eight
group on earth observations (geo),group on earth observations
group on earth observations (geo);,group on earth observations
groupe de recherche et d'action pour l'auto-promotion rural,research and action group for rural self-promotion
groupe de recherche et d'échanges technologiques,group for research and technology exchanges
"groupe energies renouvelables, environment et solidarites","renewable energies, environment and solidarity group"
groupe esc pau,esc pau group
groupe medialternatif,medialternative group
